"unidade","area","n_ingressantes"
"Faculdade de Filosofia, Letras e Ciências Humanas","Ciências Humanas",22220
"Escola de Artes, Ciências e Humanidades","Multidisciplinar",13479
"Escola Politécnica","Engenharias",11518
"Faculdade de Economia, Administração, Contabilidade e Atuária","Ciências Sociais Aplicadas",8341
"Faculdade de Direito","Ciências Sociais Aplicadas",6180
"Escola de Engenharia de São Carlos","Engenharias",6020
"Escola Superior de Agricultura ""Luiz de Queiroz""","Ciências Agrárias",5696
"Escola de Comunicações e Artes","Linguística, Letras e Artes",5631
"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto","Multidisciplinar",5372
"Instituto de Matemática e Estatística","Ciências Exatas e da Terra",5299
"Escola de Engenharia de Lorena","Engenharias",4408
"Instituto de Física","Ciências Exatas e da Terra",4138
"Instituto de Ciências Matemáticas e de Computação","Ciências Exatas e da Terra",3694
"Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto","Ciências Sociais Aplicadas",3588
"Faculdade de Zootecnia e Engenharia de Alimentos","Ciências Agrárias",3574
"Faculdade de Medicina","Ciências da Saúde",3327
"Faculdade de Medicina de Ribeirão Preto","Ciências da Saúde",3204
"Faculdade de Arquitetura e Urbanismo","Ciências Sociais Aplicadas",2624
"Faculdade de Educação","Ciências Humanas",2623
"Faculdade de Ciências Farmacêuticas","Ciências da Saúde",1974
"Instituto de Química","Ciências Exatas e da Terra",1780
"Faculdade de Odontologia","Ciências da Saúde",1766
"Escola de Enfermagem de Ribeirão Preto","Ciências da Saúde",1764
"Instituto de Física de São Carlos","Ciências Exatas e da Terra",1712
"Instituto de Biociências","Ciências Biológicas",1654
"Faculdade de Saúde Pública","Ciências da Saúde",1565
"Faculdade de Odontologia de Bauru","Ciências da Saúde",1439
"Faculdade de Direito de Ribeirão Preto","Ciências Sociais Aplicadas",1431
"Escola de Educação Física e Esporte","Ciências da Saúde",1424
"Pró-reitoria de Graduação","Multidisciplinar",1419
"Instituto de Geociências","Ciências Exatas e da Terra",1348
"Instituto de Astronomia, Geofísica e Ciências Atmosféricas","Ciências Exatas e da Terra",1165
"Faculdade de Medicina Veterinária e Zootecnia","Ciências Agrárias",1098
"Faculdade de Ciências Farmacêuticas de Ribeirão Preto","Ciências da Saúde",1092
"Escola de Enfermagem","Ciências da Saúde",1071
"Faculdade de Odontologia de Ribeirão Preto","Ciências da Saúde",1051
"Instituto de Psicologia","Ciências Humanas",977
"Instituto de Relações Internacionais","Ciências Sociais Aplicadas",846
"Escola de Educação Física e Esporte de Ribeirão Preto","Ciências da Saúde",839
"Instituto de Química de São Carlos","Ciências Exatas e da Terra",809
"Escola de Engenharia de São Carlos e Instituto de Ciências Matemáticas e de Computação","Multidisciplinar",768
"Interunidades de Licenciatura IFSC/IQSC/ICMC","Multidisciplinar",588
"Instituto de Arquitetura e Urbanismo de São Carlos","Ciências Sociais Aplicadas",575
"Instituto de Ciências Biomédicas","Ciências Biológicas",552
"Instituto Oceanográfico","Ciências Exatas e da Terra",545
"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto e Faculdade de Medicina de Ribeirão Preto","Multidisciplinar",369
"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto e Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto","Multidisciplinar",147
"Física Médica - Instituto de Física e Faculdade de Medicina","Multidisciplinar",25
